"user_id"	"event_time"	"meta_data"
"0"	"1544704902316947"	"u1=4537116216;u2=2406046948;u4=138254010736;u5=970x250;u6=j;u7=65710914014d4e0ce41a186ac23360e5;_dc_1=3;~oref=https://www.testsite03.com.au/"
"CAESEKiZRXXG4_EBl8GcorBT7mE"	"1544663963407361"	"u1=4581525309;u2=2401105914;u4=138253279530;u5=970x250;u6=j;~oref=https://www.testsite03.com.au/education/the-top-schools-in-the-2018-hsc-revealed-20181213-p50lxn.html"
"CAESENZefdvpxQqifnc_15nb0aA"	"1544685228150371"	"u1=4662932081;u2=2445812797;u4=138254311006;u5=970x250;u6=j;~oref=https://www.testsite03.com.au/sport/nrl/hayne-makes-rare-public-appearance-with-former-teammates-20181213-p50m3g.html"
"CAESEO20tSeCaA3KR34klcMZRHY"	"1544691926997349"	"u1=4581525309;u2=2401105914;u4=138253279344;u5=300x250;u6=j;~oref=https://www.testsite03.com.au/education/top-english-maths-schools-in-2018-hsc-revealed-20181213-p50lz1.html"
"CAESEGVEJoTa5UKf9uaKKio-qos"	"1544672424119715"	"dc_pre=CPej_pjxm98CFRAhKgodM3kIVg;u1=4513525805;u2=2420374692;u4=138248817770;u5=300x250;u6=j;~oref=https://www.testsite03.com.au/"
"CAESEPnjuQTRdxstJhVsP-QnJyY"	"1544663631809286"	"dc_pre=CLO07rfQm98CFRfwjwodCiIIFw;u1=4537116216;u2=2406046948;u4=138254010736;u5=970x250;u6=j;u7=a4d764cf3bedca4e260bf6848941ebd7;~oref=https://www.testsite03.com.au/"
"CAESEPq9d5iuDuf0oFsejlqk8bo"	"1544658837434723"	"dc_pre=CISZq8q-m98CFRn0jwodX6IE6g;u1=4617842802;u2=2384539156;u4=138249793293;u5=728x90;u6=j;~oref=https://www.testsite03.com.au/"
"0"	"1544672575489560"	"u1=4546908700;u2=2424734290;u4=138252695145;u5=728x90;u6=j;u7=35729a5712dc1d4075e71bec10dc12d2;_dc_1=1;~oref=https://www.testsite03.com.au/entertainment/tv-and-radio/are-you-kidding-abc-newsreader-caught-mid-coif-20181213-p50lyb.html"
"CAESEIoyHaJQb_zk8LYWOkoqF2Q"	"1544658558270167"	"dc_pre=CN6tmcW9m98CFVvHjgodVRoDaw;u1=4617842802;u2=2384539156;u4=138249792528;u5=970x250;u6=j;~oref=https://www.testsite03.com.au/"
"0"	"1544693430433507"	"u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;_dc_1=3;~oref=https://www.testsite03.com.au/"
"CAESELuKBI3G4h1N0609uoah-ME"	"1544645754791819"	"dc_pre=CIr29OuNm98CFdlKKwod_swGEw;u1=4632685163;u2=2405006121;u4=138252695290;u5=970x250;u6=j;~oref=https://www.testsite03.com.au/politics/federal"
